school,sex,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic
GP,F,U,GT3,A,at_home,teacher,course,mother,yes,no,no,no,yes,yes,no,no
GP,F,U,GT3,T,at_home,other,course,father,no,yes,no,no,no,yes,yes,no
GP,F,U,LE3,T,at_home,other,other,mother,yes,no,yes,no,yes,yes,yes,no
GP,F,U,GT3,T,health,services,home,mother,no,yes,yes,yes,yes,yes,yes,yes
GP,F,U,GT3,T,other,other,home,father,no,yes,yes,no,yes,yes,no,no
GP,M,U,LE3,T,services,other,reputation,mother,no,yes,yes,yes,yes,yes,yes,no
GP,M,U,LE3,T,other,other,home,mother,no,no,no,no,yes,yes,yes,no
GP,F,U,GT3,A,other,teacher,home,mother,yes,yes,no,no,yes,yes,no,no
GP,M,U,LE3,A,services,other,home,mother,no,yes,yes,no,yes,yes,yes,no
GP,M,U,GT3,T,other,other,home,mother,no,yes,yes,yes,yes,yes,yes,no
GP,F,U,GT3,T,teacher,health,reputation,mother,no,yes,yes,no,yes,yes,yes,no
GP,F,U,GT3,T,services,other,reputation,father,no,yes,no,yes,yes,yes,yes,no
GP,M,U,LE3,T,health,services,course,father,no,yes,yes,yes,yes,yes,yes,no
GP,M,U,GT3,T,teacher,other,course,mother,no,yes,yes,no,yes,yes,yes,no
GP,M,U,GT3,A,other,other,home,other,no,yes,no,no,yes,yes,yes,yes
GP,F,U,GT3,T,health,other,home,mother,no,yes,no,no,yes,yes,yes,no
GP,F,U,GT3,T,services,services,reputation,mother,no,yes,yes,yes,yes,yes,yes,no
GP,F,U,GT3,T,other,other,reputation,mother,yes,yes,no,yes,yes,yes,no,no
GP,M,U,GT3,T,services,services,course,mother,no,yes,no,yes,yes,yes,yes,no
GP,M,U,LE3,T,health,other,home,father,no,no,yes,yes,yes,yes,yes,no
GP,M,U,GT3,T,teacher,other,reputation,mother,no,no,no,no,yes,yes,yes,no
GP,M,U,GT3,T,health,health,other,father,no,yes,yes,no,yes,yes,yes,no
GP,M,U,LE3,T,teacher,other,course,mother,no,no,no,yes,yes,yes,yes,no
GP,M,U,LE3,T,other,other,reputation,mother,no,yes,no,yes,yes,yes,yes,no
GP,F,R,GT3,T,services,health,course,mother,yes,yes,yes,yes,yes,yes,yes,no
GP,F,U,GT3,T,services,services,home,mother,no,yes,yes,no,no,yes,yes,no
GP,M,U,GT3,T,other,other,home,mother,no,yes,yes,no,yes,yes,yes,no
GP,M,U,GT3,T,health,services,other,mother,no,no,yes,no,yes,yes,yes,no
GP,M,U,LE3,A,services,other,home,mother,yes,yes,no,yes,yes,yes,yes,no
GP,M,U,GT3,T,teacher,teacher,home,mother,no,yes,yes,yes,yes,yes,yes,yes
GP,M,U,GT3,T,health,services,home,mother,no,yes,yes,no,no,yes,yes,no
GP,M,U,GT3,T,services,services,reputation,mother,no,yes,no,yes,yes,yes,yes,no
GP,M,R,GT3,T,teacher,at_home,course,mother,no,yes,no,yes,yes,yes,yes,yes
GP,M,U,LE3,T,other,other,course,mother,no,no,no,yes,no,yes,yes,no
GP,M,U,GT3,T,other,other,home,mother,no,yes,yes,no,no,yes,yes,no
GP,F,U,GT3,T,other,other,other,father,no,yes,no,yes,yes,yes,no,no
GP,M,U,LE3,T,teacher,services,home,mother,no,yes,no,yes,yes,yes,yes,no
GP,M,R,GT3,A,other,teacher,reputation,mother,no,yes,no,yes,yes,yes,yes,yes
GP,F,R,GT3,T,services,health,course,mother,yes,yes,yes,yes,yes,yes,yes,no
GP,F,R,GT3,T,at_home,other,reputation,mother,yes,yes,yes,yes,yes,yes,no,no
GP,F,U,LE3,T,other,other,home,mother,no,yes,no,yes,no,yes,yes,yes
GP,M,U,LE3,T,teacher,other,home,other,no,yes,no,no,no,yes,yes,yes
GP,M,U,GT3,T,services,teacher,course,father,no,yes,no,yes,yes,yes,yes,no
GP,M,U,GT3,T,services,services,course,father,yes,yes,no,no,yes,yes,yes,no
GP,F,U,LE3,T,other,at_home,course,father,yes,no,no,yes,yes,yes,yes,no
GP,F,U,LE3,A,other,other,course,mother,yes,yes,yes,yes,yes,yes,yes,yes
GP,F,U,LE3,A,other,services,home,mother,no,yes,no,no,yes,yes,yes,no
GP,M,U,GT3,T,health,services,reputation,mother,no,no,no,yes,yes,yes,yes,no
GP,M,U,GT3,T,teacher,other,home,mother,no,yes,yes,no,yes,yes,no,no
GP,F,U,GT3,T,services,teacher,other,father,yes,yes,no,yes,no,yes,yes,no
GP,F,U,LE3,T,services,services,course,mother,no,yes,yes,no,yes,yes,yes,no
GP,F,U,LE3,T,health,other,other,mother,no,yes,yes,no,yes,yes,yes,no
GP,M,U,LE3,A,health,health,other,father,no,no,no,no,yes,yes,no,no
GP,F,U,GT3,T,services,services,course,mother,yes,yes,yes,no,yes,yes,yes,no
GP,F,U,LE3,A,other,other,other,mother,no,no,yes,no,yes,yes,yes,no
GP,F,U,GT3,A,other,other,other,mother,no,no,yes,yes,yes,yes,yes,yes
GP,F,U,GT3,A,services,services,reputation,mother,no,yes,yes,yes,yes,yes,yes,no
GP,M,U,GT3,T,teacher,health,reputation,mother,no,yes,no,yes,yes,yes,no,no
GP,M,U,LE3,T,other,at_home,home,father,yes,yes,no,yes,yes,yes,yes,no
GP,F,U,GT3,T,services,other,course,mother,no,yes,no,no,yes,yes,yes,no
GP,F,R,GT3,T,health,teacher,other,mother,no,yes,no,yes,yes,yes,no,no
GP,F,U,GT3,T,services,services,course,father,yes,yes,no,yes,no,yes,yes,yes
GP,F,U,LE3,T,other,services,reputation,father,yes,no,no,yes,yes,yes,yes,no
GP,F,U,GT3,T,teacher,health,home,mother,yes,yes,yes,yes,yes,yes,yes,no
GP,F,U,LE3,T,services,services,reputation,father,yes,no,no,yes,yes,yes,yes,yes
GP,F,U,LE3,T,teacher,services,course,mother,no,yes,no,yes,yes,yes,yes,no
GP,M,U,GT3,A,other,services,reputation,mother,no,yes,no,yes,no,yes,yes,yes
GP,F,U,GT3,T,services,other,course,mother,yes,yes,yes,no,yes,yes,yes,no
GP,F,R,LE3,T,health,services,reputation,mother,yes,yes,yes,no,yes,yes,yes,no
GP,F,R,LE3,T,other,other,reputation,father,no,yes,no,no,no,yes,yes,no
GP,M,U,GT3,T,other,other,reputation,father,no,yes,yes,no,yes,yes,yes,no
GP,M,U,GT3,T,other,other,course,mother,no,no,no,no,yes,yes,yes,no
GP,F,R,GT3,T,other,other,reputation,mother,yes,yes,no,no,no,yes,yes,yes
GP,M,U,GT3,T,other,other,reputation,mother,no,no,no,yes,yes,yes,no,no
GP,F,U,GT3,T,other,services,home,mother,yes,yes,yes,yes,yes,yes,yes,no
GP,M,U,GT3,T,teacher,other,home,mother,no,yes,yes,yes,yes,yes,yes,no
GP,M,U,GT3,T,teacher,other,course,mother,no,no,no,yes,yes,yes,yes,no
GP,F,U,GT3,T,other,other,reputation,mother,no,no,yes,no,yes,yes,yes,yes
GP,M,U,GT3,T,other,other,home,mother,yes,yes,no,yes,yes,no,yes,no
GP,F,U,GT3,T,at_home,other,course,mother,no,yes,no,no,yes,yes,yes,no
GP,M,U,GT3,T,other,services,course,father,yes,yes,yes,yes,no,yes,yes,yes
GP,M,U,GT3,T,other,other,home,mother,yes,no,yes,no,no,yes,yes,no
GP,F,U,LE3,T,services,other,reputation,mother,no,yes,yes,no,yes,yes,yes,no
GP,M,U,LE3,T,services,services,home,mother,no,no,yes,yes,yes,yes,yes,no
GP,F,U,GT3,T,other,other,home,father,no,yes,no,yes,no,yes,yes,no
GP,F,U,GT3,T,services,services,reputation,father,no,no,yes,no,yes,yes,yes,yes
GP,F,U,LE3,T,at_home,other,course,mother,no,yes,no,no,yes,yes,no,no
GP,F,U,GT3,T,other,other,reputation,mother,no,yes,no,yes,yes,yes,yes,no
GP,M,U,GT3,T,services,other,reputation,father,no,no,yes,yes,no,yes,yes,no
GP,M,U,LE3,A,teacher,health,reputation,mother,no,yes,no,no,yes,yes,no,no
GP,F,U,GT3,T,other,other,home,mother,no,yes,yes,no,yes,yes,yes,yes
GP,F,U,GT3,T,services,other,reputation,mother,no,no,yes,yes,yes,yes,yes,no
GP,F,U,LE3,T,other,other,home,father,yes,yes,no,no,yes,yes,no,no
GP,F,U,GT3,T,teacher,services,home,mother,no,yes,yes,yes,yes,yes,yes,no
GP,M,U,LE3,T,services,health,reputation,mother,no,yes,no,yes,yes,yes,yes,no
GP,F,R,GT3,T,at_home,other,home,mother,yes,yes,yes,yes,yes,yes,yes,no
GP,M,R,GT3,T,services,other,reputation,mother,yes,yes,no,yes,no,yes,yes,no
GP,F,U,GT3,T,other,other,course,mother,no,yes,yes,no,yes,yes,no,yes
GP,F,U,GT3,T,other,other,reputation,mother,no,no,no,yes,no,yes,yes,no
GP,F,U,GT3,T,other,at_home,course,mother,yes,yes,yes,no,yes,yes,yes,no
GP,M,U,GT3,T,services,services,other,mother,yes,yes,yes,yes,yes,yes,yes,no
GP,M,U,GT3,T,services,teacher,other,father,no,yes,no,yes,yes,yes,yes,yes
GP,M,U,GT3,T,services,other,course,mother,no,yes,no,yes,no,yes,yes,no
GP,F,U,GT3,T,services,other,home,mother,yes,yes,yes,no,yes,yes,yes,no
GP,M,U,GT3,A,services,other,course,mother,no,yes,yes,yes,yes,yes,yes,no
GP,F,U,GT3,A,other,health,reputation,father,yes,no,no,no,yes,yes,no,no
GP,F,U,GT3,T,other,other,course,mother,yes,yes,yes,no,yes,yes,yes,no
GP,M,U,GT3,T,services,other,home,father,no,yes,no,yes,yes,yes,yes,no
GP,M,R,GT3,T,other,other,home,father,no,yes,yes,yes,yes,yes,yes,yes
GP,F,U,LE3,T,health,health,other,mother,no,yes,yes,yes,yes,yes,yes,yes
GP,M,U,LE3,A,teacher,teacher,course,mother,no,no,no,yes,yes,yes,yes,no
GP,F,R,GT3,T,services,other,reputation,father,yes,yes,no,yes,yes,yes,yes,no
GP,F,U,GT3,T,at_home,other,home,mother,yes,no,no,yes,yes,yes,yes,no
GP,M,U,LE3,T,teacher,other,course,mother,no,no,no,no,yes,yes,yes,no
GP,M,R,GT3,T,health,services,reputation,mother,no,no,no,yes,yes,yes,yes,yes
GP,M,U,GT3,T,teacher,teacher,course,father,no,yes,no,yes,yes,yes,yes,no
GP,M,U,GT3,T,other,teacher,reputation,father,no,yes,no,yes,yes,yes,no,no
GP,M,U,GT3,T,other,services,home,father,no,no,no,yes,yes,yes,yes,no
GP,M,R,GT3,T,other,other,course,father,no,yes,no,yes,yes,yes,yes,no
GP,M,U,GT3,T,other,other,reputation,father,no,no,no,no,yes,yes,yes,no
GP,F,U,GT3,T,at_home,services,course,mother,no,no,no,no,no,yes,yes,no
GP,M,U,GT3,T,services,services,home,father,no,yes,yes,yes,yes,yes,yes,no
GP,F,U,LE3,T,other,health,course,father,no,yes,yes,yes,yes,yes,yes,yes
GP,M,U,GT3,T,health,other,course,mother,no,yes,no,yes,yes,yes,yes,no
GP,F,U,GT3,T,other,other,home,mother,no,no,yes,no,yes,yes,yes,yes
GP,M,U,GT3,T,services,services,home,father,yes,no,no,no,yes,yes,yes,no
GP,F,U,LE3,A,other,other,home,mother,yes,no,no,yes,yes,yes,yes,yes
GP,F,U,GT3,T,at_home,other,course,other,no,yes,no,no,no,no,no,no
GP,M,R,GT3,T,services,other,reputation,mother,no,yes,no,yes,yes,yes,yes,no
GP,M,R,GT3,T,teacher,teacher,course,mother,no,no,yes,yes,yes,yes,yes,no
GP,F,R,GT3,T,services,teacher,course,father,no,yes,no,no,yes,yes,yes,yes
GP,F,U,GT3,T,at_home,other,course,mother,no,yes,no,yes,no,yes,yes,yes
GP,F,U,LE3,T,other,other,course,father,no,yes,no,no,yes,yes,yes,yes
GP,F,U,GT3,A,services,other,course,father,no,no,no,no,yes,yes,yes,no
GP,M,R,GT3,T,at_home,teacher,course,mother,no,yes,no,no,yes,yes,no,yes
GP,F,U,GT3,T,services,at_home,course,mother,no,yes,no,yes,yes,yes,yes,yes
GP,M,R,GT3,T,at_home,other,course,mother,no,no,no,no,yes,yes,no,no
GP,F,U,GT3,A,other,other,course,other,no,yes,no,yes,no,yes,yes,yes
GP,M,U,LE3,T,services,other,course,mother,no,no,no,no,yes,yes,no,yes
GP,F,U,GT3,T,teacher,teacher,course,mother,no,no,no,yes,yes,yes,yes,no
GP,M,U,GT3,T,teacher,services,course,father,yes,yes,no,no,yes,yes,yes,no
GP,M,U,LE3,T,services,services,reputation,father,no,yes,no,yes,yes,yes,yes,no
GP,F,U,GT3,T,teacher,services,course,mother,no,yes,yes,yes,yes,yes,yes,no
GP,F,U,LE3,T,at_home,at_home,course,mother,no,no,no,no,yes,yes,yes,no
GP,M,U,GT3,T,other,other,home,mother,no,yes,no,no,yes,yes,yes,no
GP,F,U,GT3,T,other,services,course,father,no,yes,yes,no,yes,yes,yes,no
GP,F,U,GT3,T,health,services,home,father,no,yes,no,no,yes,yes,yes,no
GP,F,U,GT3,T,at_home,other,course,mother,no,yes,yes,no,no,yes,yes,no
GP,M,U,GT3,T,teacher,teacher,course,mother,no,yes,no,no,yes,no,yes,yes
GP,M,U,LE3,A,services,other,course,mother,no,no,no,no,yes,yes,yes,no
GP,M,U,LE3,T,other,other,course,mother,no,no,no,no,yes,no,yes,yes
GP,M,U,LE3,T,at_home,other,course,mother,no,no,no,yes,yes,yes,no,yes
GP,F,R,GT3,T,services,services,reputation,other,no,yes,yes,yes,yes,yes,yes,yes
GP,M,U,GT3,T,services,at_home,home,mother,no,yes,no,no,yes,no,yes,yes
GP,F,U,GT3,T,other,teacher,course,mother,yes,yes,no,no,yes,yes,no,yes
GP,M,R,GT3,T,at_home,services,course,mother,yes,no,yes,yes,yes,yes,no,no
GP,M,R,LE3,T,other,other,reputation,mother,no,no,no,no,yes,yes,no,no
GP,F,R,GT3,T,at_home,other,course,mother,no,yes,no,yes,no,yes,no,no
GP,M,R,GT3,T,at_home,other,course,mother,no,no,no,no,no,yes,no,no
GP,M,U,GT3,T,other,services,course,father,no,yes,yes,no,yes,yes,yes,yes
GP,M,R,LE3,T,at_home,other,course,mother,no,no,no,yes,yes,no,yes,yes
GP,M,R,GT3,T,other,other,course,mother,yes,yes,no,no,yes,yes,yes,yes
GP,M,U,LE3,T,other,other,course,mother,no,no,no,yes,yes,yes,no,no
GP,M,U,GT3,T,at_home,services,course,father,no,no,no,no,yes,no,yes,no
GP,M,R,LE3,T,other,services,course,mother,no,no,no,yes,yes,no,no,yes
GP,M,U,GT3,T,services,services,course,mother,no,yes,no,yes,no,no,no,no
GP,M,U,GT3,T,other,other,course,father,no,no,no,no,yes,no,yes,no
GP,F,U,GT3,T,health,services,home,father,no,no,yes,no,yes,yes,yes,yes
GP,F,U,GT3,T,other,other,home,mother,no,yes,yes,no,no,yes,yes,no
GP,F,U,GT3,T,health,health,reputation,mother,no,yes,yes,no,yes,yes,yes,yes
GP,M,U,GT3,T,other,other,course,father,no,yes,no,yes,no,yes,yes,no
GP,M,U,GT3,T,other,other,reputation,mother,no,yes,yes,yes,yes,yes,yes,yes
GP,M,U,LE3,T,teacher,other,reputation,mother,no,yes,yes,yes,yes,yes,yes,no
GP,F,U,GT3,T,at_home,services,home,mother,no,no,no,yes,no,yes,yes,yes
GP,F,U,LE3,T,other,other,reputation,mother,no,yes,yes,yes,yes,yes,yes,no
GP,M,U,LE3,T,teacher,other,course,mother,no,no,yes,yes,yes,yes,yes,no
GP,F,U,GT3,T,services,other,reputation,mother,no,no,yes,yes,no,yes,yes,no
GP,M,U,GT3,T,other,other,reputation,father,no,no,no,yes,no,yes,yes,no
GP,M,R,GT3,T,teacher,services,other,mother,no,yes,no,yes,yes,yes,yes,yes
GP,M,U,GT3,T,other,other,course,mother,no,yes,no,yes,yes,yes,yes,yes
GP,M,U,GT3,T,teacher,other,home,mother,no,yes,yes,yes,yes,yes,yes,no
GP,M,U,GT3,T,services,other,home,mother,no,no,yes,yes,yes,yes,yes,yes
GP,F,U,GT3,T,services,services,reputation,father,no,yes,no,yes,yes,yes,no,no
GP,F,U,LE3,T,other,other,reputation,mother,no,yes,no,yes,yes,yes,yes,yes
GP,F,U,GT3,T,other,other,reputation,mother,no,yes,yes,no,yes,yes,yes,no
GP,M,U,GT3,T,services,services,other,mother,no,yes,no,yes,yes,yes,yes,yes
GP,M,U,GT3,T,services,services,other,mother,no,yes,yes,yes,yes,yes,yes,yes
GP,M,U,LE3,T,other,other,course,mother,no,no,yes,yes,yes,yes,yes,yes
GP,F,U,GT3,A,health,other,reputation,mother,no,yes,no,no,no,yes,yes,yes
GP,M,R,GT3,T,at_home,other,home,mother,no,no,no,no,yes,yes,no,no
GP,F,U,GT3,T,services,services,course,mother,no,no,no,no,yes,yes,yes,no
GP,F,U,GT3,T,at_home,services,course,mother,no,no,no,yes,yes,yes,yes,no
GP,M,U,GT3,T,at_home,services,other,other,no,no,yes,yes,no,yes,yes,no
GP,M,R,GT3,T,services,services,reputation,mother,no,yes,no,yes,yes,yes,yes,no
GP,M,U,GT3,T,other,other,home,father,no,no,no,no,yes,yes,yes,no
GP,F,U,LE3,T,services,services,course,father,no,no,no,yes,yes,yes,yes,yes
